items	num_genomes_gene_cluster_has_hits	num_genes_in_gene_cluster	max_num_paralogs	SCG	functional_homogeneity_index	geometric_homogeneity_index	combined_homogeneity_index	PPanGGOLiN
GC_00000091	8	8	1	1	1.0	1.0	1.0	persistent
GC_00000092	8	8	1	1	1.0	1.0	1.0	persistent
GC_00000093	8	8	1	1	1.0	1.0	1.0	persistent
GC_00000094	8	8	1	1	1.0	1.0	1.0	persistent
GC_00000095	8	8	1	1	1.0	1.0	1.0	persistent
GC_00000096	8	8	1	1	1.0	1.0	1.0	persistent
GC_00000097	8	8	1	1	1.0	1.0	1.0	persistent
GC_00000098	8	8	1	1	1.0	1.0	1.0	persistent
GC_00000099	8	8	1	1	1.0	1.0	1.0	persistent
GC_00000100	8	8	1	1	1.0	1.0	1.0	persistent
GC_00000101	8	8	1	1	1.0	1.0	1.0	persistent
GC_00000102	8	8	1	1	1.0	1.0	1.0	persistent
GC_00000103	8	8	1	1	1.0	1.0	1.0	persistent
GC_00000104	8	8	1	1	1.0	1.0	1.0	persistent
GC_00000105	8	8	1	1	1.0	1.0	1.0	persistent
GC_00000106	8	8	1	1	1.0	1.0	1.0	persistent
GC_00000107	8	8	1	1	1.0	1.0	1.0	persistent
GC_00000108	8	8	1	1	1.0	1.0	1.0	persistent
GC_00000109	8	8	1	1	1.0	1.0	1.0	persistent
GC_00000110	8	8	1	1	1.0	1.0	1.0	persistent
GC_00000111	8	8	1	1	1.0	1.0	1.0	persistent
GC_00000112	8	8	1	1	1.0	1.0	1.0	persistent
GC_00000113	8	8	1	1	1.0	1.0	1.0	persistent
GC_00000114	8	8	1	1	1.0	1.0	1.0	persistent
GC_00000115	8	8	1	1	1.0	1.0	1.0	persistent
GC_00000116	8	8	1	1	1.0	1.0	1.0	persistent
GC_00000117	8	8	1	1	1.0	1.0	1.0	persistent
GC_00000118	8	8	1	1	1.0	1.0	1.0	persistent
GC_00000119	8	8	1	1	0.999031007751938	1.0	0.999515269025691	persistent
GC_00000120	8	8	1	1	1.0	0.970238095238096	0.984894259818731	persistent
GC_00000121	8	8	1	1	0.998792270531401	1.0	0.999395770392749	persistent
GC_00000122	8	8	1	1	0.99812734082397	1.0	0.999062792877226	persistent
GC_00000123	8	8	1	1	0.999322493224932	1.0	0.999661131819722	persistent
GC_00000124	8	8	1	1	0.99812030075188	1.0	0.999059266227658	persistent
GC_00000125	8	8	1	1	0.999617737003058	1.0	0.999808831963296	persistent
GC_00000126	8	8	1	1	0.999255952380952	1.0	0.999627837737253	persistent
GC_00000127	8	8	1	1	0.998387096774194	1.0	0.999192897497982	persistent
GC_00000128	8	8	1	1	0.998407643312102	1.0	0.999203187250996	persistent
GC_00000129	8	8	1	1	0.997967479674797	1.0	0.998982706002035	persistent
GC_00000130	8	8	1	1	0.996794871794872	1.0	0.998394863563403	persistent
GC_00000131	8	8	1	1	0.993727598566308	1.0	0.99685393258427	persistent
GC_00000132	8	8	1	1	0.996699669966997	1.0	0.998347107438017	persistent
GC_00000133	8	8	1	1	0.998484848484849	1.0	0.999241849886278	persistent
GC_00000134	8	8	1	1	0.999015748031496	1.0	0.999507631708518	persistent
GC_00000135	8	8	1	1	0.997368421052632	1.0	0.998682476943346	persistent
GC_00000136	8	8	1	1	0.997549019607843	1.0	0.998773006134969	persistent
GC_00000137	8	8	1	1	0.970741901776385	0.996875000000001	0.983634906225573	persistent
GC_00000138	8	8	1	1	0.999358974358974	1.0	0.999679384418083	persistent
GC_00000139	8	8	1	1	0.998730964467005	1.0	0.999365079365079	persistent
GC_00000140	8	8	1	1	0.999662618083671	1.0	0.999831280580395	persistent
GC_00000141	8	8	1	1	0.99914089347079	1.0	0.999570262140095	persistent
GC_00000142	8	8	1	1	0.998917748917749	1.0	0.999458581483487	persistent
GC_00000143	8	8	1	1	0.998765432098765	1.0	0.999382334774552	persistent
GC_00000144	8	8	1	1	1.0	0.991306390977444	0.995634218289086	persistent
GC_00000145	8	8	1	1	0.996884735202492	1.0	0.998439937597504	persistent
GC_00000146	8	8	1	1	0.999166666666667	1.0	0.999583159649854	persistent
GC_00000147	8	8	1	1	0.997395833333333	1.0	0.998696219035202	persistent
GC_00000148	8	8	1	1	0.999526515151515	1.0	0.99976320151551	persistent
GC_00000149	8	8	1	1	1.0	0.975895832632046	0.987800891641213	persistent
GC_00000150	8	8	1	1	0.998502994011976	1.0	0.999250936329588	persistent
GC_00000151	8	8	1	1	0.99931693989071	1.0	0.999658353262726	persistent
GC_00000152	8	8	1	1	0.998873873873874	1.0	0.99943661971831	persistent
GC_00000153	8	8	1	1	0.999266862170088	1.0	0.999633296663	persistent
GC_00000154	8	8	1	1	0.99468085106383	1.0	0.997333333333333	persistent
GC_00000155	8	8	1	1	0.998554913294798	1.0	0.999276934201012	persistent
GC_00000156	8	8	1	1	0.999436936936937	1.0	0.999718389186145	persistent
GC_00000157	8	8	1	1	0.998333333333333	1.0	0.999165971643036	persistent
GC_00000158	8	8	1	1	0.995176848874598	0.993628143688049	0.994401893284106	persistent
GC_00000159	8	8	1	1	0.997304582210243	1.0	0.998650472334683	persistent
GC_00000160	8	8	1	1	0.994089244089244	1.0	0.997035861896213	persistent
GC_00000161	8	8	1	1	0.996798719487795	1.0	0.998396793587174	persistent
GC_00000162	8	8	1	1	0.996666666666667	1.0	0.998330550918197	persistent
GC_00000163	8	8	1	1	0.995290423861852	1.0	0.997639653815893	persistent
GC_00000164	8	8	1	1	0.993411927877947	1.0	0.996695077404766	persistent
GC_00000165	8	8	1	1	0.99235385210995	1.0	0.996162254068496	persistent
GC_00000166	8	8	1	1	0.999458874458874	1.0	0.999729364005413	persistent
GC_00000167	8	8	1	1	0.999389499389499	1.0	0.99969465648855	persistent
GC_00000168	8	8	1	1	0.999487967229903	1.0	0.999743918053777	persistent
GC_00000169	8	8	1	1	0.9975	1.0	0.998748435544431	persistent
GC_00000170	8	8	1	1	0.998397435897436	0.918601651186791	0.956838779251591	persistent
GC_00000171	8	8	1	1	0.997549019607843	1.0	0.998773006134969	persistent
GC_00000172	8	8	1	1	0.997589531680441	1.0	0.998793311498018	persistent
GC_00000173	8	8	1	1	0.99812734082397	1.0	0.999062792877226	persistent
GC_00000174	8	8	1	1	0.995225694444444	1.0	0.997607135088101	persistent
GC_00000175	8	8	1	1	0.991471215351812	1.0	0.995717344753747	persistent
GC_00000176	8	8	1	1	0.997657295850067	1.0	0.998827274250293	persistent
GC_00000177	8	8	1	1	0.999174236168456	1.0	0.999586947542338	persistent
GC_00000178	8	8	1	1	0.997592295345104	1.0	0.998794696665327	persistent
GC_00000179	8	8	1	1	0.992971887550201	1.0	0.99647355163728	persistent
GC_00000180	8	8	1	1	0.997797356828194	1.0	0.998897464167585	persistent
GC_00000181	8	8	1	1	0.999216637606449	0.926694650462925	0.961590202476754	persistent
GC_00000182	8	8	1	1	0.998199279711885	1.0	0.99909882847702	persistent
GC_00000183	8	8	1	1	0.997326203208556	1.0	0.998661311914324	persistent
GC_00000184	8	8	1	1	0.994872480827537	1.0	0.997429650655998	persistent
GC_00000185	8	8	1	1	0.998728274692666	1.0	0.999363732767762	persistent
GC_00000186	8	8	1	1	0.998340046381057	0.995283257913157	0.996809308686405	persistent
GC_00000187	8	8	1	1	0.995977011494253	1.0	0.997984451482868	persistent
GC_00000188	8	8	1	1	0.990157480314961	1.0	0.995054401582592	persistent
GC_00000189	8	8	1	1	0.992268041237113	1.0	0.996119016817594	persistent
GC_00000190	8	8	1	1	0.99745269286754	1.0	0.998724722171616	persistent
GC_00000191	8	8	1	1	0.998447204968944	1.0	0.999222999222999	persistent
GC_00000192	8	8	1	1	0.997777777777778	1.0	0.99888765294772	persistent
GC_00000193	8	8	1	1	0.997787610619469	1.0	0.998892580287929	persistent
GC_00000194	8	8	1	1	0.998015873015873	1.0	0.999006951340616	persistent
GC_00000195	8	8	1	1	0.995426829268293	1.0	0.997708174178762	persistent
GC_00000196	8	8	1	1	0.996031746031746	1.0	0.998011928429423	persistent
GC_00000197	8	8	1	1	0.99849578820698	1.0	0.999247328014451	persistent
GC_00000198	8	8	1	1	0.998687664041995	1.0	0.999343401181878	persistent
GC_00000199	8	8	1	1	0.995762711864407	0.976342975206611	0.98595722843376	persistent
GC_00000200	8	8	1	1	0.997863247863248	1.0	0.998930481283422	persistent
GC_00000201	8	8	1	1	0.998281786941581	1.0	0.999140154772141	persistent
GC_00000202	8	8	1	1	0.994047619047619	1.0	0.997014925373134	persistent
GC_00000203	8	8	1	1	0.992268041237113	1.0	0.996119016817594	persistent
GC_00000204	8	8	1	1	0.997379454926625	1.0	0.998688008396746	persistent
GC_00000205	8	8	1	1	0.997601918465228	1.0	0.998799519807923	persistent
GC_00000206	8	8	1	1	0.998856209150327	1.0	0.999427777323633	persistent
GC_00000207	8	8	1	1	0.999660671869698	0.975053976540347	0.987204013584797	persistent
GC_00000208	8	8	1	1	0.999314128943759	1.0	0.999656946826758	persistent
GC_00000209	8	8	1	1	0.995073891625616	1.0	0.997530864197531	persistent
GC_00000210	8	8	1	1	0.998198198198198	1.0	0.999098286744815	persistent
GC_00000211	8	8	1	1	0.998463901689708	1.0	0.999231360491929	persistent
GC_00000212	8	8	1	1	0.99468085106383	1.0	0.997333333333333	persistent
GC_00000213	8	8	1	1	0.996625421822272	1.0	0.99830985915493	persistent
GC_00000214	8	8	1	1	0.999047619047619	1.0	0.999523582658409	persistent
GC_00000215	8	8	1	1	0.988875878220141	1.0	0.99440682955549	persistent
GC_00000216	8	8	1	1	0.998709439528024	1.0	0.999354303108569	persistent
GC_00000217	8	8	1	1	0.996489621489622	1.0	0.998241724638789	persistent
GC_00000218	8	8	1	1	0.996341463414634	1.0	0.998167379352474	persistent
GC_00000219	8	8	1	1	0.989364273628233	0.876886539492836	0.929735926275439	persistent
GC_00000220	8	8	1	1	0.998136645962733	1.0	0.999067454149829	persistent
GC_00000221	8	8	1	1	0.992784992784993	1.0	0.99637943519189	persistent
GC_00000222	8	8	1	1	0.99515306122449	1.0	0.997570643140263	persistent
GC_00000223	8	8	1	1	0.995363408521303	1.0	0.997676317276895	persistent
GC_00000224	8	8	1	1	0.996777163904236	1.0	0.998385981092921	persistent
GC_00000225	8	8	1	1	0.997995126615465	0.939915795174987	0.968085139998986	persistent
GC_00000226	8	8	1	1	0.994133885438233	1.0	0.997058314587299	persistent
GC_00000227	8	8	1	1	0.996642246642247	1.0	0.998318299954135	persistent
GC_00000228	8	8	1	1	0.99639855942377	1.0	0.998196031268791	persistent
GC_00000229	8	8	1	1	0.979783134104122	0.993271764863536	0.986481342515427	persistent
GC_00000230	8	8	1	1	0.998785228377065	1.0	0.999392245046797	persistent
GC_00000231	8	8	1	1	0.990499084249084	1.0	0.995226867559952	persistent
GC_00000232	8	8	1	1	0.98054587688734	1.0	0.990177393344084	persistent
GC_00000233	8	8	1	1	0.990299823633157	1.0	0.995126273814798	persistent
GC_00000234	8	8	1	1	0.994314143567875	1.0	0.997148966500356	persistent
GC_00000235	8	8	1	1	0.998853211009174	1.0	0.99942627653471	persistent
GC_00000236	8	8	1	1	0.969494047619048	1.0	0.984510766905931	persistent
GC_00000237	8	8	1	1	0.998480902777778	1.0	0.999239874036269	persistent
GC_00000238	8	8	1	1	0.99802584350323	1.0	0.999011946465463	persistent
GC_00000239	8	8	1	1	0.984717302899121	1.0	0.992299811626293	persistent
GC_00000240	8	8	1	1	0.998028510767364	1.0	0.999013282732448	persistent
GC_00000241	8	8	1	1	0.992028985507246	1.0	0.995998544925427	persistent
GC_00000242	8	8	1	1	0.988997113997114	1.0	0.994468123696382	persistent
GC_00000243	8	8	1	1	0.999163354946664	0.998538011695907	0.998850585445249	persistent
GC_00000244	8	8	1	1	0.998339973439575	1.0	0.999169297225453	persistent
GC_00000245	8	8	1	1	0.987903225806452	1.0	0.993914807302231	persistent
GC_00000246	8	8	1	1	0.99583031182016	1.0	0.997910800254337	persistent
GC_00000247	8	8	1	1	1.0	0.995094191522764	0.997541064227403	persistent
GC_00000248	8	8	1	1	0.96002132196162	1.0	0.979602937177046	persistent
GC_00000249	8	8	1	1	0.998881598568446	1.0	0.99944048640382	persistent
GC_00000250	8	8	1	1	0.997957516339869	1.0	0.998977714168882	persistent
GC_00000251	8	8	1	1	0.995634920634921	1.0	0.997812686418771	persistent
GC_00000252	8	8	1	1	0.992757936507937	1.0	0.996365808732016	persistent
GC_00000253	8	8	1	1	0.996995994659546	1.0	0.998495737924118	persistent
GC_00000254	8	8	1	1	0.994233630952381	1.0	0.99710847868669	persistent
GC_00000255	8	8	1	1	0.998033126293996	1.0	0.999015595046889	persistent
GC_00000256	8	8	1	1	0.996563573883162	1.0	0.998278829604131	persistent
GC_00000257	8	8	1	1	0.997425178722889	1.0	0.998710929798753	persistent
GC_00000258	8	8	1	1	0.998779547790339	1.0	0.999389401291898	persistent
GC_00000259	8	8	1	1	0.996598639455782	1.0	0.998296422487223	persistent
GC_00000260	8	8	1	1	0.991758241758242	1.0	0.995862068965517	persistent
GC_00000261	8	8	1	1	0.98711943793911	1.0	0.993517972893341	persistent
GC_00000262	8	8	1	1	0.994824016563147	1.0	0.997405293201868	persistent
GC_00000263	8	8	1	1	0.99475483262612	1.0	0.997370520282447	persistent
GC_00000264	8	8	1	1	0.998139880952381	1.0	0.999069074660212	persistent
GC_00000265	8	8	1	1	0.994260204081633	1.0	0.997121842021106	persistent
GC_00000266	8	8	1	1	0.997050622050622	1.0	0.998523133105985	persistent
GC_00000267	8	8	1	1	0.996151996151996	1.0	0.998072289156626	persistent
GC_00000268	8	8	1	1	0.986751152073733	1.0	0.993331400405915	persistent
GC_00000269	8	8	1	1	0.994997467071935	1.0	0.997492461514045	persistent
GC_00000270	8	8	1	1	0.997780468119451	1.0	0.998889001110999	persistent
GC_00000271	8	8	1	1	0.99858630952381	1.0	0.999292654778303	persistent
GC_00000272	8	8	1	1	0.989031567683253	1.0	0.99448554135844	persistent
GC_00000273	8	8	1	1	0.99477648202138	0.944758215085885	0.969122393082879	persistent
GC_00000274	8	8	1	1	0.996291959406714	1.0	0.998142535927266	persistent
GC_00000275	8	8	1	1	0.99250936329588	1.0	0.996240601503759	persistent
GC_00000276	8	8	1	1	0.997772497772498	1.0	0.998885007061622	persistent
GC_00000277	8	8	1	1	0.987755102040816	1.0	0.993839835728953	persistent
GC_00000278	8	8	1	1	0.997265122265122	1.0	0.998630688683045	persistent
GC_00000279	8	8	1	1	0.991242474001095	1.0	0.995601979109401	persistent
GC_00000280	8	8	1	1	0.998008152677413	1.0	0.999003083485962	persistent
GC_00000281	8	8	1	1	0.995180722891566	0.786706349206349	0.878748160381219	persistent
GC_00000282	8	8	1	1	0.989628980426526	1.0	0.994787460538874	persistent
GC_00000283	8	8	1	1	0.990040075436115	1.0	0.994995113572423	persistent
GC_00000284	8	8	1	1	0.988479262672811	1.0	0.994206257242178	persistent
GC_00000285	8	8	1	1	0.975812547241119	1.0	0.987758224942617	persistent
GC_00000286	8	8	1	1	0.997458533975388	1.0	0.998727650170763	persistent
GC_00000287	8	8	1	1	0.995077503142019	1.0	0.997532678880781	persistent
GC_00000288	8	8	1	1	0.993855606758833	1.0	0.996918335901387	persistent
GC_00000289	8	8	1	1	0.998011974927496	1.0	0.999004998419703	persistent
GC_00000290	8	8	1	1	0.995349702380952	1.0	0.997669432273702	persistent
GC_00000291	8	8	1	1	0.980392156862745	1.0	0.99009900990099	persistent
GC_00000292	8	8	1	1	0.992830833991055	1.0	0.996402521535364	persistent
GC_00000293	8	8	1	1	0.942012288786482	1.0	0.970140399446312	persistent
GC_00000294	8	8	1	1	0.996997471554994	1.0	0.998496478594603	persistent
GC_00000295	8	8	1	1	0.989477040816326	1.0	0.994710690815836	persistent
GC_00000296	8	8	1	1	0.993037840136054	1.0	0.996506759819738	persistent
GC_00000297	8	8	1	1	0.980711271850512	1.0	0.990261716372489	persistent
GC_00000298	8	8	1	1	0.996594868546088	1.0	0.998294530599294	persistent
GC_00000299	8	8	1	1	0.993559718969555	1.0	0.996769456681351	persistent
GC_00000300	8	8	1	1	0.99055829228243	1.0	0.995256753969891	persistent
GC_00000301	8	8	1	1	0.999094671495085	0.986339697169192	0.992676213607389	persistent
GC_00000302	8	8	1	1	0.996470920383964	1.0	0.998232341087464	persistent
GC_00000303	8	8	1	1	0.990178571428571	1.0	0.995065051592642	persistent
GC_00000304	8	8	1	1	0.994047619047619	1.0	0.997014925373134	persistent
GC_00000305	8	8	1	1	0.999003322259136	1.0	0.999501412664118	persistent
GC_00000306	8	8	1	1	0.995421245421245	1.0	0.997705369435521	persistent
GC_00000307	8	8	1	1	0.998027613412229	1.0	0.999012833168806	persistent
GC_00000308	8	8	1	1	0.998438719750195	1.0	0.99921875	persistent
GC_00000309	8	8	1	1	0.991643772893773	1.0	0.995804356572217	persistent
GC_00000310	8	8	1	1	0.99534519690229	1.0	0.997667169016701	persistent
GC_00000311	8	8	1	1	0.991787624140565	1.0	0.995876881771982	persistent
GC_00000312	8	8	1	1	0.996112730806608	1.0	0.998052580331061	persistent
GC_00000313	8	8	1	1	0.997478733666579	1.0	0.998737775631387	persistent
GC_00000314	8	8	1	1	0.996887287024902	1.0	0.998441217491181	persistent
GC_00000315	8	8	1	1	0.998736637512148	1.0	0.999367919482666	persistent
GC_00000316	8	8	1	1	0.995666008338819	1.0	0.997828298100448	persistent
GC_00000317	8	8	1	1	0.998037207714627	1.0	0.999017639772776	persistent
GC_00000318	8	8	1	1	0.982001133786848	1.0	0.990918841616017	persistent
GC_00000319	8	8	1	1	0.988977072310406	1.0	0.994457991576147	persistent
GC_00000320	8	8	1	1	0.980081300813008	1.0	0.989940463970437	persistent
GC_00000321	8	8	1	1	0.986111111111111	1.0	0.993006993006993	persistent
GC_00000322	8	8	1	1	0.999362955884695	1.0	0.99968137645372	persistent
GC_00000323	8	8	1	1	0.992840492840493	1.0	0.996407385746512	persistent
GC_00000324	8	8	1	1	0.994001476559616	1.0	0.996991715647707	persistent
GC_00000325	8	8	1	1	0.995767195767196	1.0	0.997879109225875	persistent
GC_00000326	8	8	1	1	0.99455205811138	1.0	0.997268588770865	persistent
GC_00000327	8	8	1	1	0.993227830054177	1.0	0.99660241050034	persistent
GC_00000328	8	8	1	1	0.998913454270597	1.0	0.999456431829461	persistent
GC_00000329	8	8	1	1	0.995872697776505	1.0	0.997932081425788	persistent
GC_00000330	8	8	1	1	0.988983653162758	1.0	0.994461318563516	persistent
GC_00000331	8	8	1	1	0.997851335656214	1.0	0.998924512397175	persistent
GC_00000332	8	8	1	1	0.989285714285714	0.712382445141065	0.828304592974676	persistent
GC_00000333	8	8	1	1	0.99874686716792	1.0	0.999373040752351	persistent
GC_00000334	8	8	1	1	0.996140964030872	1.0	0.998066751778224	persistent
GC_00000335	8	8	1	1	0.995937902187902	1.0	0.99796481753884	persistent
GC_00000336	8	8	1	1	0.997948016415869	1.0	0.998972954467648	persistent
GC_00000337	8	8	1	1	0.996908068783069	1.0	0.998451640681278	persistent
GC_00000338	8	8	1	1	0.992044134727062	0.967802691585441	0.979773491346623	persistent
GC_00000339	8	8	1	1	0.985812799226951	0.998291622616298	0.992012968775025	persistent
GC_00000340	8	8	1	1	0.989387227759321	1.0	0.994665305933108	persistent
GC_00000341	8	8	1	1	0.997568584273787	1.0	0.998782812392348	persistent
GC_00000342	8	8	1	1	0.870363325090356	0.985631648017685	0.92441806245455	persistent
GC_00000343	8	8	1	1	0.993677697067528	1.0	0.996828823965994	persistent
GC_00000344	8	8	1	1	0.992010226909556	1.0	0.995989090325686	persistent
GC_00000345	8	8	1	1	0.99910791189861	1.0	0.999553756905227	persistent
GC_00000346	8	8	1	1	0.99621609034812	1.0	0.99810445889592	persistent
GC_00000347	8	8	1	1	0.992137592137592	0.892038855453489	0.939429301618012	persistent
GC_00000348	8	8	1	1	0.992989417989418	1.0	0.996482378708436	persistent
GC_00000349	8	8	1	1	0.979001322751323	1.0	0.989389255576907	persistent
GC_00000350	8	8	1	1	0.994654448262696	0.961664967345694	0.977881556434206	persistent
GC_00000351	8	8	1	1	0.998696145124717	1.0	0.999347647275718	persistent
GC_00000352	8	8	1	1	0.989382239382239	1.0	0.994662785055798	persistent
GC_00000353	8	8	1	1	0.99486301369863	1.0	0.997424892703863	persistent
GC_00000354	8	8	1	1	0.994859307359307	1.0	0.99742302997423	persistent
GC_00000355	8	8	1	1	0.99899703471132	1.0	0.999498265744639	persistent
GC_00000356	8	8	1	1	0.989408263305322	0.811869167777566	0.891889333048525	persistent
