Query-ID,Reference-ID,Mash-distance,P-value,Matching-hashes
Cac_KPL_4065,Cac_ATCC_49725,0.0224927,0,4530/10000
Cpr_KPL_2755,Cac_ATCC_49725,0.240698,9.46E-118,32/10000
Cac_KPL_3921,Cac_ATCC_49725,0.0226742,0,4505/10000
Cps_KPL_2773,Cac_ATCC_49725,0.223483,1.04E-176,46/10000
Cma_NML_120205,Cac_ATCC_49725,0.105187,0,581/10000
Cps_KPL_4010,Cac_ATCC_49725,0.245371,2.53E-106,29/10000
Cps_KPL_2640,Cac_ATCC_49725,0.254359,4.65E-86,24/10000
Cpr_HSID18035,Cac_ATCC_49725,0.250557,1.20E-93,26/10000
Cps_KPL_2865,Cac_ATCC_49725,0.245371,2.85E-106,29/10000
Cac_KPL_2859,Cac_ATCC_49725,0.0229748,0,4464/10000
Cac_BWA096,Cac_ATCC_49725,0.0221621,0,4576/10000
Cps_KPL_2733,Cac_ATCC_49725,0.26546,1.08E-66,19/10000
Cps_KPL_2834,Cac_ATCC_49725,0.242205,3.36E-114,31/10000
Ctu_KPL_3807,Cac_ATCC_49725,0.162937,0,166/10000
Cac_KPL_2641,Cac_ATCC_49725,0.0235869,0,4382/10000
Cac_KPL_2660,Cac_ATCC_49725,0.0226232,0,4512/10000
Cpr_KPL_3675,Cac_ATCC_49725,0.25242,9.54E-90,25/10000
Cac_KPL_3970,Cac_ATCC_49725,0.0223628,0,4548/10000
Cac_KPL_3832,Cac_ATCC_49725,0.02237,0,4547/10000
Cpr_KPL_3889,Cac_ATCC_49725,0.231311,1.66E-146,39/10000
Cps_KPL_3772,Cac_ATCC_49725,0.247037,4.65E-102,28/10000
Cac_KPL_3926,Cac_ATCC_49725,0.0241214,0,4312/10000
Cps_DU080,Cac_ATCC_49725,0.25242,2.40E-90,25/10000
Ctu_BWA150,Cac_ATCC_49725,0.165251,0,158/10000
Cac_DU079,Cac_ATCC_49725,0.0225144,0,4527/10000
Cps_KPL_3770,Cac_ATCC_49725,0.235108,5.76E-135,36/10000
Cac_KPL_2783,Cac_ATCC_49725,0.0222766,0,4560/10000
Cma_CCUG_32361,Cac_ATCC_49725,0.104648,0,588/10000
Cpr_1274_CJEI,Cac_ATCC_49725,0.279978,1.81E-47,14/10000
Cps_KPL_2915,Cac_ATCC_49725,0.250557,3.41E-94,26/10000
Cpr_KPL_3967,Cac_ATCC_49725,0.254359,8.57E-86,24/10000
Cps_KPL_3833,Cac_ATCC_49725,0.224525,1.67E-172,45/10000
Cpr_KPL_2785,Cac_ATCC_49725,0.250557,8.16E-94,26/10000
Cpr_KPL_4040,Cac_ATCC_49725,0.256381,8.91E-82,23/10000
Cps_90104,Cac_ATCC_49725,0.248764,3.70E-98,27/10000
Cpr_KPL_2811,Cac_ATCC_49725,0.224525,1.88E-171,45/10000
Cac_KPL_3703,Cac_ATCC_49725,0.0230931,0,4448/10000
Cac_KPL_4034,Cac_ATCC_49725,0.0219984,0,4599/10000
Cma_NML_080212,Cac_ATCC_49725,0.104191,0,594/10000
Cac_ATCC_49726,Cac_ATCC_49725,0.0235115,0,4392/10000
Ctu_DSM_44922,Cac_ATCC_49726,0.157113,0,188/10000
Cac_KPL_1996,Cac_ATCC_49726,0.0266994,0,3994/10000
Cps_KPL_1989,Cac_ATCC_49726,0.254359,2.53E-86,24/10000
Cac_KPL_1818,Cac_ATCC_49726,0.0277154,0,3877/10000
Cps_BWA188,Cac_ATCC_49726,0.25242,5.32E-90,25/10000
Cac_BWA270,Cac_ATCC_49726,0.0297935,0,3651/10000
Cac_KPL_1824,Cac_ATCC_49726,0.0270856,0,3949/10000
Cps_BWA127,Cac_ATCC_49726,0.256381,3.18E-82,23/10000
Cps_BWA223,Cac_ATCC_49726,0.254359,2.91E-86,24/10000
Cps_BWA184,Cac_ATCC_49726,0.254359,3.67E-86,24/10000
Cps_BWA300,Cac_ATCC_49726,0.23782,2.01E-126,34/10000
Cac_BWA161,Cac_ATCC_49726,0.0289006,0,3746/10000
Cps_BWA311,Cac_ATCC_49726,0.263022,1.24E-70,20/10000
Cps_DSM_44287,Cac_ATCC_49726,0.250557,1.99E-94,26/10000
Cps_BWA118,Cac_ATCC_49726,0.263022,1.24E-70,20/10000
Cps_BWA198,Cac_ATCC_49726,0.245371,3.33E-106,29/10000
Cps_HSID17576,Cac_ATCC_49726,0.260703,1.55E-74,21/10000
Cac_DU075,Cac_ATCC_49726,0.0298414,0,3646/10000
Cps_BWA141,Cac_ATCC_49726,0.258493,2.25E-78,22/10000
Cps_BWA283,Cac_ATCC_49726,0.26546,1.04E-66,19/10000
Cps_HSID17575,Cac_ATCC_49726,0.250557,3.34E-94,26/10000
Cps_BWA238,Cac_ATCC_49726,0.258493,2.28E-78,22/10000
Cps_BWA110,Cac_ATCC_49726,0.260703,1.75E-74,21/10000
Cac_BWA070,Cac_ATCC_49726,0.0279019,0,3856/10000
Cps_KPL_3966,Cac_ATCC_49726,0.247037,4.08E-102,28/10000
Cps_KPL_4066,Cac_ATCC_49726,0.273629,3.14E-55,16/10000
Cps_KPL_2826,Cac_ATCC_49726,0.239237,1.08E-122,33/10000
Cps_BWA164,Cac_ATCC_49726,0.260703,2.02E-74,21/10000
Cpr_BWA290,Cac_ATCC_49726,0.245371,5.08E-106,29/10000
Cpr_BWA146,Cac_ATCC_49726,0.276697,2.59E-51,15/10000
Cps_BWA166,Cac_ATCC_49726,0.263022,1.56E-70,20/10000
Cac_DU076,Cac_ATCC_49726,0.0268875,0,3972/10000
Cpr_KPL_2657,Cac_ATCC_49726,0.273629,4.86E-55,16/10000
Cps_KPL_2795,Cac_ATCC_49726,0.220489,7.85E-190,49/10000
Cpr_DSM_44285,Cac_ATCC_49726,0.256381,4.51E-82,23/10000
Cps_BWA305,Cac_ATCC_49726,0.258493,1.80E-78,22/10000
Cps_KPL_2667,Cac_ATCC_49726,0.279978,9.67E-48,14/10000
Cps_KPL_4025,Cac_ATCC_49726,0.23782,6.21E-127,34/10000
Cac_KPL_3674,Cac_ATCC_49726,0.0278574,0,3861/10000
Cps_KPL_3702,Cac_ATCC_49726,0.250557,2.30E-94,26/10000
Cac_KPL_4075,Cac_ATCC_49726,0.0262685,0,4045/10000
Cpr_KPL_2654,Cac_ATCC_49726,0.243761,8.42E-110,30/10000
Cac_KPL_3647,Cac_ATCC_49726,0.0254028,0,4150/10000
Cps_BWA172,Cac_ATCC_49726,0.263022,1.88E-70,20/10000
Cpr_BWA124,Cac_ATCC_49726,0.243761,4.58E-110,30/10000
Cac_BWA273,Cac_ATCC_49726,0.0256554,0,4119/10000
Cpr_KPL_3953,Cac_ATCC_49726,0.227796,3.12E-159,42/10000
Cps_BWA092,Cac_ATCC_49726,0.248764,2.15E-98,27/10000
Cac_BWA121,Cac_ATCC_49726,0.0313964,0,3488/10000
Cpr_DE0530,Cac_ATCC_49726,0.247037,1.14E-101,28/10000
Cac_ATCC_49725,Cac_ATCC_49726,0.0235115,0,4392/10000
Ctu_BWA195,Cac_ATCC_49726,0.160198,0,176/10000
Cps_KPL_4041,Cac_ATCC_49726,0.245371,3.02E-106,29/10000
Cac_KPL_3802,Cac_ATCC_49726,0.0281977,0,3823/10000
Ctu_BWA207,Cac_ATCC_49726,0.161547,0,171/10000
Ctu_DU074,Cac_ATCC_49726,0.158119,0,184/10000
Cps_KPL_2621,Cac_ATCC_49726,0.25242,2.88E-90,25/10000
Cpr_KPL_2804,Cac_ATCC_49726,0.242205,5.75E-114,31/10000
Cac_KPL_2618,Cac_ATCC_49726,0.02559,0,4127/10000
Cac_KPL_2617,Cac_ATCC_49726,0.0268704,0,3974/10000
Cac_KPL_3774,Cac_ATCC_49726,0.0265804,0,4008/10000
Ctu_SK141,Cac_ATCC_49726,0.16322,0,165/10000
Cps_KPL_3671,Cac_ATCC_49726,0.250557,2.08E-94,26/10000
Cpr_KPL_3672,Cac_ATCC_49726,0.263022,2.23E-70,20/10000
Cac_BWA109,Cac_ATCC_49726,0.0273637,0,3917/10000
Ctu_BWA158,Cac_ATCC_49726,0.162098,0,169/10000
Cac_KPL_2652,Cac_ATCC_49726,0.02768,0,3881/10000
Cac_KPL_4065,Cac_ATCC_49726,0.0264113,0,4028/10000
Cpr_KPL_2755,Cac_ATCC_49726,0.23782,4.80E-126,34/10000
Cac_KPL_3921,Cac_ATCC_49726,0.0252815,0,4165/10000
Cps_KPL_2773,Cac_ATCC_49726,0.223483,6.82E-177,46/10000
Cma_NML_120205,Cac_ATCC_49726,0.104724,0,587/10000
Cps_KPL_4010,Cac_ATCC_49726,0.245371,1.94E-106,29/10000
Cps_KPL_2640,Cac_ATCC_49726,0.248764,4.16E-98,27/10000
Cpr_HSID18035,Cac_ATCC_49726,0.247037,9.59E-102,28/10000
Cps_KPL_2865,Cac_ATCC_49726,0.240698,1.36E-118,32/10000
Cac_KPL_2859,Cac_ATCC_49726,0.025894,0,4090/10000
Cac_BWA096,Cac_ATCC_49726,0.0262433,0,4048/10000
Cps_KPL_2733,Cac_ATCC_49726,0.270747,4.43E-59,17/10000
Cps_KPL_2834,Cac_ATCC_49726,0.247037,3.50E-102,28/10000
Ctu_KPL_3807,Cac_ATCC_49726,0.160733,0,174/10000
Cac_KPL_2641,Cac_ATCC_49726,0.0266909,0,3995/10000
Cac_KPL_2660,Cac_ATCC_49726,0.0271289,0,3944/10000
Cpr_KPL_3675,Cac_ATCC_49726,0.248764,8.19E-98,27/10000
Cac_KPL_3970,Cac_ATCC_49726,0.026462,0,4022/10000
Cac_KPL_3832,Cac_ATCC_49726,0.0229306,0,4470/10000
Cpr_KPL_3889,Cac_ATCC_49726,0.236445,3.74E-130,35/10000
Cps_KPL_3772,Cac_ATCC_49726,0.247037,3.58E-102,28/10000
Cac_KPL_3926,Cac_ATCC_49726,0.0282067,0,3822/10000
Cps_DU080,Cac_ATCC_49726,0.248764,1.87E-98,27/10000
Ctu_BWA150,Cac_ATCC_49726,0.16322,0,165/10000
Cac_DU079,Cac_ATCC_49726,0.0265127,0,4016/10000
Cps_KPL_3770,Cac_ATCC_49726,0.243761,1.72E-110,30/10000
Cac_KPL_2783,Cac_ATCC_49726,0.0263356,0,4037/10000
Cma_CCUG_32361,Cac_ATCC_49726,0.103815,0,599/10000
Cpr_1274_CJEI,Cac_ATCC_49726,0.273629,4.96E-55,16/10000
Cps_KPL_2915,Cac_ATCC_49726,0.250557,2.68E-94,26/10000
Cpr_KPL_3967,Cac_ATCC_49726,0.248764,8.22E-98,27/10000
Cps_KPL_3833,Cac_ATCC_49726,0.219531,5.69E-194,50/10000
Cpr_KPL_2785,Cac_ATCC_49726,0.243761,5.48E-110,30/10000
Cpr_KPL_4040,Cac_ATCC_49726,0.260703,4.63E-74,21/10000
Cps_90104,Cac_ATCC_49726,0.248764,2.88E-98,27/10000
Cpr_KPL_2811,Cac_ATCC_49726,0.22559,1.95E-167,44/10000
Cac_KPL_3703,Cac_ATCC_49726,0.0280629,0,3838/10000
Cac_KPL_4034,Cac_ATCC_49726,0.026235,0,4049/10000
Cma_NML_080212,Cac_ATCC_49726,0.103815,0,599/10000
Cac_ATCC_49726,Cac_ATCC_49726,0,0,10000/10000
Ctu_DSM_44922,Cac_BWA070,0.161822,0,170/10000
Cac_KPL_1996,Cac_BWA070,0.0238604,0,4346/10000
Cps_KPL_1989,Cac_BWA070,0.242205,3.01E-114,31/10000
Cac_KPL_1818,Cac_BWA070,0.0264788,0,4020/10000
Cps_BWA188,Cac_BWA070,0.245371,8.57E-106,29/10000
Cac_BWA270,Cac_BWA070,0.0275038,0,3901/10000
Cac_KPL_1824,Cac_BWA070,0.0228791,0,4477/10000
Cps_BWA127,Cac_BWA070,0.258493,3.95E-78,22/10000
Cps_BWA223,Cac_BWA070,0.26546,1.50E-66,19/10000
Cps_BWA184,Cac_BWA070,0.242205,4.90E-114,31/10000
Cps_BWA300,Cac_BWA070,0.242205,6.15E-114,31/10000
Cac_BWA161,Cac_BWA070,0.025894,0,4090/10000
Cps_BWA311,Cac_BWA070,0.263022,1.74E-70,20/10000
Cps_DSM_44287,Cac_BWA070,0.245371,2.65E-106,29/10000
Cps_BWA118,Cac_BWA070,0.263022,1.74E-70,20/10000
Cps_BWA198,Cac_BWA070,0.256381,4.47E-82,23/10000
Cps_HSID17576,Cac_BWA070,0.240698,2.33E-118,32/10000
Cac_DU075,Cac_BWA070,0.0271029,0,3947/10000
Cps_BWA141,Cac_BWA070,0.258493,3.27E-78,22/10000
Cps_BWA283,Cac_BWA070,0.258493,3.11E-78,22/10000
Cps_HSID17575,Cac_BWA070,0.236445,1.66E-130,35/10000
Cps_BWA238,Cac_BWA070,0.23782,2.05E-126,34/10000
Cps_BWA110,Cac_BWA070,0.243761,3.80E-110,30/10000
Cac_BWA070,Cac_BWA070,0,0,10000/10000
Cps_KPL_3966,Cac_BWA070,0.233808,1.30E-138,37/10000
Cps_KPL_4066,Cac_BWA070,0.233808,7.65E-139,37/10000
Cps_KPL_2826,Cac_BWA070,0.240698,2.30E-118,32/10000
Cps_BWA164,Cac_BWA070,0.263022,2.23E-70,20/10000
Cpr_BWA290,Cac_BWA070,0.23782,4.14E-126,34/10000
Cpr_BWA146,Cac_BWA070,0.245371,7.70E-106,29/10000
Cps_BWA166,Cac_BWA070,0.242205,4.03E-114,31/10000
Cac_DU076,Cac_BWA070,0.0253057,0,4162/10000
Cpr_KPL_2657,Cac_BWA070,0.242205,7.70E-114,31/10000
Cps_KPL_2795,Cac_BWA070,0.220489,1.79E-189,49/10000
Cpr_DSM_44285,Cac_BWA070,0.231311,1.10E-146,39/10000
Cps_BWA305,Cac_BWA070,0.25242,3.68E-90,25/10000
Cps_KPL_2667,Cac_BWA070,0.263022,1.67E-70,20/10000
Cps_KPL_4025,Cac_BWA070,0.22668,3.64E-164,43/10000
Cac_KPL_3674,Cac_BWA070,0.000276192,0,9885/10000
Cps_KPL_3702,Cac_BWA070,0.258493,2.46E-78,22/10000
Cac_KPL_4075,Cac_BWA070,0.0234437,0,4401/10000
Cpr_KPL_2654,Cac_BWA070,0.26546,3.31E-66,19/10000
Cac_KPL_3647,Cac_BWA070,0.0238222,0,4351/10000
Cps_BWA172,Cac_BWA070,0.245371,6.63E-106,29/10000
Cpr_BWA124,Cac_BWA070,0.23782,4.09E-126,34/10000
Cac_BWA273,Cac_BWA070,0.0234137,0,4405/10000
Cpr_KPL_3953,Cac_BWA070,0.187235,0,99/10000
Cps_BWA092,Cac_BWA070,0.240698,1.92E-118,32/10000
Cac_BWA121,Cac_BWA070,0.0282699,0,3815/10000
Cpr_DE0530,Cac_BWA070,0.196705,0,81/10000
Cac_ATCC_49725,Cac_BWA070,0.0259436,0,4084/10000
Ctu_BWA195,Cac_BWA070,0.161822,0,170/10000
Cps_KPL_4041,Cac_BWA070,0.23782,2.22E-126,34/10000
Cac_KPL_3802,Cac_BWA070,0.025338,0,4158/10000
Ctu_BWA207,Cac_BWA070,0.168956,0,146/10000
Ctu_DU074,Cac_BWA070,0.162376,0,168/10000
Cps_KPL_2621,Cac_BWA070,0.232543,5.48E-143,38/10000
Cpr_KPL_2804,Cac_BWA070,0.188197,0,97/10000
Cac_KPL_2618,Cac_BWA070,0.0245415,0,4258/10000
Cac_KPL_2617,Cac_BWA070,0.0252976,0,4163/10000
Cac_KPL_3774,Cac_BWA070,0.0237233,0,4364/10000
Ctu_SK141,Cac_BWA070,0.164662,0,160/10000
Cps_KPL_3671,Cac_BWA070,0.25242,3.12E-90,25/10000
Cpr_KPL_3672,Cac_BWA070,0.258493,5.28E-78,22/10000
Cac_BWA109,Cac_BWA070,0.0264366,0,4025/10000
Ctu_BWA158,Cac_BWA070,0.165549,0,157/10000
Cac_KPL_2652,Cac_BWA070,0.0246201,0,4248/10000
Cac_KPL_4065,Cac_BWA070,0.0251286,0,4184/10000
Cpr_KPL_2755,Cac_BWA070,0.191731,0,90/10000
Cac_KPL_3921,Cac_BWA070,0.0243228,0,4286/10000
Cps_KPL_2773,Cac_BWA070,0.219531,1.43E-193,50/10000
Cma_NML_120205,Cac_BWA070,0.106285,0,567/10000
Cps_KPL_4010,Cac_BWA070,0.242205,2.43E-114,31/10000
Cps_KPL_2640,Cac_BWA070,0.250557,6.51E-94,26/10000
Cpr_HSID18035,Cac_BWA070,0.190693,0,92/10000
Cps_KPL_2865,Cac_BWA070,0.243761,3.19E-110,30/10000
Cac_KPL_2859,Cac_BWA070,0.0241214,0,4312/10000
Cac_BWA096,Cac_BWA070,0.0234588,0,4399/10000
Cps_KPL_2733,Cac_BWA070,0.247037,3.71E-102,28/10000
Cps_KPL_2834,Cac_BWA070,0.221466,7.28E-185,48/10000
Ctu_KPL_3807,Cac_BWA070,0.16615,0,155/10000
Cac_KPL_2641,Cac_BWA070,0.0213613,0,4690/10000
Cac_KPL_2660,Cac_BWA070,0.024881,0,4215/10000
Cpr_KPL_3675,Cac_BWA070,0.239237,8.22E-122,33/10000
Cac_KPL_3970,Cac_BWA070,0.0236853,0,4369/10000
Cac_KPL_3832,Cac_BWA070,0.0248889,0,4214/10000
Cpr_KPL_3889,Cac_BWA070,0.188197,0,97/10000
Cps_KPL_3772,Cac_BWA070,0.250557,5.85E-94,26/10000
Cac_KPL_3926,Cac_BWA070,0.0239369,0,4336/10000
Cps_DU080,Cac_BWA070,0.25242,2.89E-90,25/10000
Ctu_BWA150,Cac_BWA070,0.161274,0,172/10000
Cac_DU079,Cac_BWA070,0.0223484,0,4550/10000
Cps_KPL_3770,Cac_BWA070,0.242205,2.47E-114,31/10000
Cac_KPL_2783,Cac_BWA070,0.0249526,0,4206/10000
Cma_CCUG_32361,Cac_BWA070,0.105811,0,573/10000
Cpr_1274_CJEI,Cac_BWA070,0.240698,6.99E-118,32/10000
Cps_KPL_2915,Cac_BWA070,0.248764,4.16E-98,27/10000
Cpr_KPL_3967,Cac_BWA070,0.254359,1.04E-85,24/10000
Cps_KPL_3833,Cac_BWA070,0.218593,7.01E-198,51/10000
Cpr_KPL_2785,Cac_BWA070,0.248764,1.04E-97,27/10000
Cpr_KPL_4040,Cac_BWA070,0.260703,6.72E-74,21/10000
Cps_90104,Cac_BWA070,0.250557,4.54E-94,26/10000
Cpr_KPL_2811,Cac_BWA070,0.185827,0,102/10000
Cac_KPL_3703,Cac_BWA070,0.0228277,0,4484/10000
Cac_KPL_4034,Cac_BWA070,0.0243539,0,4282/10000
Cma_NML_080212,Cac_BWA070,0.104878,0,585/10000
Cac_ATCC_49726,Cac_BWA070,0.0279019,0,3856/10000
Ctu_DSM_44922,Cac_BWA096,0.159933,0,177/10000
Cac_KPL_1996,Cac_BWA096,0.000740712,0,9696/10000
Cps_KPL_1989,Cac_BWA096,0.242205,3.69E-114,31/10000
Cac_KPL_1818,Cac_BWA096,0.0259188,0,4087/10000
Cps_BWA188,Cac_BWA096,0.245371,1.04E-105,29/10000
Cac_BWA270,Cac_BWA096,0.0266399,0,4001/10000
Cac_KPL_1824,Cac_BWA096,0.0180468,0,5204/10000
Cps_BWA127,Cac_BWA096,0.248764,7.55E-98,27/10000
Cps_BWA223,Cac_BWA096,0.256381,4.49E-82,23/10000
Cps_BWA184,Cac_BWA096,0.240698,5.20E-118,32/10000
Cps_BWA300,Cac_BWA096,0.243761,8.44E-110,30/10000
Cac_BWA161,Cac_BWA096,0.023655,0,4373/10000
Cps_BWA311,Cac_BWA096,0.247037,4.66E-102,28/10000
Cps_DSM_44287,Cac_BWA096,0.242205,2.48E-114,31/10000
Cps_BWA118,Cac_BWA096,0.247037,4.64E-102,28/10000
Cps_BWA198,Cac_BWA096,0.243761,6.09E-110,30/10000
Cps_HSID17576,Cac_BWA096,0.243761,3.88E-110,30/10000
Cac_DU075,Cac_BWA096,0.0259933,0,4078/10000
Cps_BWA141,Cac_BWA096,0.243761,5.01E-110,30/10000
Cps_BWA283,Cac_BWA096,0.250557,5.57E-94,26/10000
Cps_HSID17575,Cac_BWA096,0.228939,2.72E-155,41/10000
Cps_BWA238,Cac_BWA096,0.239237,3.19E-122,33/10000
Cps_BWA110,Cac_BWA096,0.243761,4.63E-110,30/10000
Cac_BWA070,Cac_BWA096,0.0234588,0,4399/10000
Cps_KPL_3966,Cac_BWA096,0.236445,2.90E-130,35/10000
Cps_KPL_4066,Cac_BWA096,0.247037,5.32E-102,28/10000
Cps_KPL_2826,Cac_BWA096,0.22668,7.08E-164,43/10000
Cps_BWA164,Cac_BWA096,0.26803,1.28E-62,18/10000
Cpr_BWA290,Cac_BWA096,0.235108,3.22E-134,36/10000
Cpr_BWA146,Cac_BWA096,0.256381,6.84E-82,23/10000
Cps_BWA166,Cac_BWA096,0.243761,5.59E-110,30/10000
Cac_DU076,Cac_BWA096,0.0214305,0,4680/10000
Cpr_KPL_2657,Cac_BWA096,0.25242,1.04E-89,25/10000
Cps_KPL_2795,Cac_BWA096,0.218593,7.03E-198,51/10000
Cpr_DSM_44285,Cac_BWA096,0.240698,8.23E-118,32/10000
Cps_BWA305,Cac_BWA096,0.248764,4.52E-98,27/10000
Cps_KPL_2667,Cac_BWA096,0.26803,9.86E-63,18/10000
Cps_KPL_4025,Cac_BWA096,0.224525,1.75E-172,45/10000
Cac_KPL_3674,Cac_BWA096,0.0233912,0,4408/10000
Cps_KPL_3702,Cac_BWA096,0.245371,3.79E-106,29/10000
Cac_KPL_4075,Cac_BWA096,0.000417322,0,9827/10000
Cpr_KPL_2654,Cac_BWA096,0.247037,1.88E-101,28/10000
Cac_KPL_3647,Cac_BWA096,0.0192761,0,5005/10000
Cps_BWA172,Cac_BWA096,0.243761,7.43E-110,30/10000
Cpr_BWA124,Cac_BWA096,0.233808,2.40E-138,37/10000
Cac_BWA273,Cac_BWA096,0.0181554,0,5186/10000
Cpr_KPL_3953,Cac_BWA096,0.182699,0,109/10000
Cps_BWA092,Cac_BWA096,0.23782,1.53E-126,34/10000
Cac_BWA121,Cac_BWA096,0.0279555,0,3850/10000
Cpr_DE0530,Cac_BWA096,0.192791,0,88/10000
Cac_ATCC_49725,Cac_BWA096,0.0221621,0,4576/10000
Ctu_BWA195,Cac_BWA096,0.157362,0,187/10000
Cps_KPL_4041,Cac_BWA096,0.231311,6.22E-147,39/10000
Cac_KPL_3802,Cac_BWA096,0.021382,0,4687/10000
Ctu_BWA207,Cac_BWA096,0.162098,0,169/10000
Ctu_DU074,Cac_BWA096,0.158119,0,184/10000
Cps_KPL_2621,Cac_BWA096,0.23011,3.34E-151,40/10000
Cpr_KPL_2804,Cac_BWA096,0.187713,0,98/10000
Cac_KPL_2618,Cac_BWA096,0.0216533,0,4648/10000
Cac_KPL_2617,Cac_BWA096,0.020801,0,4772/10000
Cac_KPL_3774,Cac_BWA096,0.00059426,0,9755/10000
